feature,class,molecule,genomic_accession,start,end,strand,product_accession,gene_family,gene,locus_tag,feature_interval_length,product_length,strain,startC1,endC1,startC2,endC2,strandC2
CDS,protein-coding,GCF_000190575.1,NC_015164.1,3352761,3353024,1,,hypothetical protein,other,BACSA_RS14365,,87,Phocaeicola salanitronis DSM 18170,5197,5460,23316,23579,0
CDS,pseudogene,GCF_000190575.1,NC_015164.1,3353435,3353884,1,,uncharacterized gene,other,BACSA_RS14370,,,Phocaeicola salanitronis DSM 18170,5871,6320,22456,22905,0
CDS,protein-coding,GCF_000190575.1,NC_015164.1,3354219,3355016,0,,hypothetical protein,other,BACSA_RS14375,,265,Phocaeicola salanitronis DSM 18170,6655,7452,21324,22121,1
CDS,protein-coding,GCF_000190575.1,NC_015164.1,3355047,3356588,0,,RagB/SusD family nutrient uptake outer membrane protein,susD,BACSA_RS14380,,513,Phocaeicola salanitronis DSM 18170,7483,9024,19752,21293,1
CDS,protein-coding,GCF_000190575.1,NC_015164.1,3356613,3359615,0,,TonB-dependent receptor,susC,BACSA_RS14385,,1000,Phocaeicola salanitronis DSM 18170,9049,12051,16725,19727,1
CDS,protein-coding,GCF_000190575.1,NC_015164.1,3359819,3361039,1,,ATP-binding protein,other,BACSA_RS14390,,406,Phocaeicola salanitronis DSM 18170,12255,13475,15301,16521,0
CDS,protein-coding,GCF_000190575.1,NC_015164.1,3361129,3361920,0,,hypothetical protein,other,BACSA_RS14395,,263,Phocaeicola salanitronis DSM 18170,13565,14356,14420,15211,1
CDS,protein-coding,GCF_000190575.1,NC_015164.1,3361948,3363492,0,,RagB/SusD family nutrient uptake outer membrane protein,susD,BACSA_RS14400,,514,Phocaeicola salanitronis DSM 18170,14384,15928,12848,14392,1
CDS,protein-coding,GCF_000190575.1,NC_015164.1,3363514,3366498,0,,TonB-dependent receptor,susC,BACSA_RS14405,,994,Phocaeicola salanitronis DSM 18170,15950,18934,9842,12826,1
CDS,protein-coding,GCF_000190575.1,NC_015164.1,3366676,3367803,0,,ATP-binding protein,other,BACSA_RS14410,,375,Phocaeicola salanitronis DSM 18170,19112,20239,8537,9664,1
CDS,protein-coding,GCF_000190575.1,NC_015164.1,3368486,3369643,0,,site-specific integrase,xerC,BACSA_RS14420,,385,Phocaeicola salanitronis DSM 18170,20922,22079,6697,7854,1
CDS,protein-coding,GCF_000190575.1,NC_015164.1,3369917,3373117,1,,TonB-dependent receptor,susC,BACSA_RS14425,,1066,Phocaeicola salanitronis DSM 18170,22353,25553,3223,6423,0
CDS,protein-coding,GCF_000190575.1,NC_015164.1,3373149,3374765,1,,RagB/SusD family nutrient uptake outer membrane protein,susD,BACSA_RS14430,,538,Phocaeicola salanitronis DSM 18170,25585,27201,1575,3191,0
CDS,protein-coding,GCF_000190575.1,NC_015164.1,3375075,3376340,1,,GTPase HflX,hflX,BACSA_RS14435,,421,Phocaeicola salanitronis DSM 18170,27511,28776,0,1265,0
CDS,protein-coding,GCF_016888945.1,NZ_CP069440.1,3016820,3018076,0,WP_008143911.1,GTPase HflX,hflX,I6J50_RS12820,,418,Phocaeicola coprophilus,0,1256,0,1256,0
CDS,protein-coding,GCF_016888945.1,NZ_CP069440.1,3018572,3020098,0,WP_008143917.1,RagB/SusD family nutrient uptake outer membrane protein,susD,I6J50_RS12825,,508,Phocaeicola coprophilus,1752,3278,1752,3278,0
CDS,protein-coding,GCF_016888945.1,NZ_CP069440.1,3020117,3023155,0,WP_008143921.1,TonB-dependent receptor,susC,I6J50_RS12830,,1012,Phocaeicola coprophilus,3297,6335,3297,6335,0
CDS,protein-coding,GCF_016888945.1,NZ_CP069440.1,3023497,3024678,1,WP_008143922.1,site-specific integrase,xerC,I6J50_RS12835,,393,Phocaeicola coprophilus,6677,7858,6677,7858,1
CDS,protein-coding,GCF_016888945.1,NZ_CP069440.1,3025023,3027944,1,WP_040311477.1,TonB-dependent receptor,susC,I6J50_RS12840,,973,Phocaeicola coprophilus,8203,11124,8203,11124,1
CDS,protein-coding,GCF_016888945.1,NZ_CP069440.1,3027972,3029510,1,WP_040311463.1,RagB/SusD family nutrient uptake outer membrane protein,susD,I6J50_RS12845,,512,Phocaeicola coprophilus,11152,12690,11152,12690,1
CDS,protein-coding,GCF_000187895.1,NZ_DS990118.1,104021,105277,0,WP_007557823.1,GTPase HflX,hflX,BACPLE_RS00410,,418,Phocaeicola plebeius DSM 17135,0,1256,0,1256,0
CDS,protein-coding,GCF_000187895.1,NZ_DS990118.1,105361,106749,0,WP_007557825.1,RagB/SusD family nutrient uptake outer membrane protein,susD,BACPLE_RS00415,,462,Phocaeicola plebeius DSM 17135,1340,2728,1340,2728,0
CDS,protein-coding,GCF_000187895.1,NZ_DS990118.1,106777,109932,0,WP_007557827.1,SusC/RagA family TonB-linked outer membrane protein,susC,BACPLE_RS00420,,1051,Phocaeicola plebeius DSM 17135,2756,5911,2756,5911,0
CDS,protein-coding,GCF_000187895.1,NZ_DS990118.1,110273,111436,1,WP_007557831.1,site-specific integrase,xerC,BACPLE_RS00430,,387,Phocaeicola plebeius DSM 17135,6252,7415,6252,7415,1
CDS,protein-coding,GCF_000187895.1,NZ_DS990118.1,111870,114692,1,WP_262501060.1,SusC/RagA family TonB-linked outer membrane protein,susC,BACPLE_RS00435,,940,Phocaeicola plebeius DSM 17135,7849,10671,7849,10671,1
CDS,protein-coding,GCF_000187895.1,NZ_DS990118.1,114712,116238,1,WP_007557835.1,RagB/SusD family nutrient uptake outer membrane protein,susD,BACPLE_RS00440,,508,Phocaeicola plebeius DSM 17135,10691,12217,10691,12217,1
CDS,protein-coding,GCF_900128475.1,NZ_LT635835.1,427809,429071,0,WP_022021900.1,GTPase HflX,hflX,BQ7483_RS04240,,420,Mediterranea massiliensis PRJEB18047,0,1262,0,1262,0
CDS,protein-coding,GCF_900128475.1,NZ_LT635835.1,429261,430394,0,WP_162274240.1,fimbrillin family protein,other,BQ7483_RS04245,,377,Mediterranea massiliensis PRJEB18047,1452,2585,1452,2585,0
CDS,protein-coding,GCF_900128475.1,NZ_LT635835.1,430406,432190,0,WP_072544899.1,C10 family peptidase,other,BQ7483_RS04250,,594,Mediterranea massiliensis PRJEB18047,2597,4381,2597,4381,0
CDS,protein-coding,GCF_900128475.1,NZ_LT635835.1,432289,433098,0,WP_139247526.1,fibronectin type III domain-containing protein,other,BQ7483_RS04255,,269,Mediterranea massiliensis PRJEB18047,4480,5289,4480,5289,0
CDS,protein-coding,GCF_900128475.1,NZ_LT635835.1,433133,434665,0,WP_072544901.1,RagB/SusD family nutrient uptake outer membrane protein,susD,BQ7483_RS04260,,510,Mediterranea massiliensis PRJEB18047,5324,6856,5324,6856,0
CDS,protein-coding,GCF_900128475.1,NZ_LT635835.1,434686,437619,0,WP_072544902.1,SusC/RagA family TonB-linked outer membrane protein,susC,BQ7483_RS04265,,977,Mediterranea massiliensis PRJEB18047,6877,9810,6877,9810,0
CDS,protein-coding,GCF_900128475.1,NZ_LT635835.1,438185,439828,0,WP_072544903.1,RagB/SusD family nutrient uptake outer membrane protein,susD,BQ7483_RS04270,,547,Mediterranea massiliensis PRJEB18047,10376,12019,10376,12019,0
CDS,protein-coding,GCF_900128475.1,NZ_LT635835.1,439855,442857,0,WP_262493911.1,SusC/RagA family TonB-linked outer membrane protein,susC,BQ7483_RS04275,,1000,Mediterranea massiliensis PRJEB18047,12046,15048,12046,15048,0
CDS,protein-coding,GCF_900128475.1,NZ_LT635835.1,443106,444188,1,WP_072544904.1,linear amide C-N hydrolase,other,BQ7483_RS04280,,360,Mediterranea massiliensis PRJEB18047,15297,16379,15297,16379,1
CDS,protein-coding,GCF_900128475.1,NZ_LT635835.1,444476,445681,0,WP_072544905.1,site-specific integrase,xerC,BQ7483_RS04285,,401,Mediterranea massiliensis PRJEB18047,16667,17872,16667,17872,0
CDS,protein-coding,GCF_900128475.1,NZ_LT635835.1,446134,449112,1,WP_072544906.1,TonB-dependent receptor,susC,BQ7483_RS04290,,992,Mediterranea massiliensis PRJEB18047,18325,21303,18325,21303,1
CDS,protein-coding,GCF_900128475.1,NZ_LT635835.1,449140,450699,1,WP_162274241.1,RagB/SusD family nutrient uptake outer membrane protein,susD,BQ7483_RS04295,,519,Mediterranea massiliensis PRJEB18047,21331,22890,21331,22890,1
CDS,protein-coding,GCF_900128475.1,NZ_LT635835.1,450731,451582,1,WP_021847460.1,hypothetical protein,other,BQ7483_RS04300,,283,Mediterranea massiliensis PRJEB18047,22922,23773,22922,23773,1
CDS,protein-coding,GCF_900128475.1,NZ_LT635835.1,451662,453380,1,WP_072544908.1,M64 family metallopeptidase,other,BQ7483_RS04305,,572,Mediterranea massiliensis PRJEB18047,23853,25571,23853,25571,1
CDS,protein-coding,GCF_900128475.1,NZ_LT635835.1,453486,454142,0,WP_072544909.1,MarC family protein,marC,BQ7483_RS04310,,218,Mediterranea massiliensis PRJEB18047,25677,26333,25677,26333,0
CDS,protein-coding,GCF_900128475.1,NZ_LT635835.1,454195,454893,0,WP_072545018.1,YjjG family noncanonical pyrimidine nucleotidase,YjjG,BQ7483_RS04315,,232,Mediterranea massiliensis PRJEB18047,26386,27084,26386,27084,0
